title_x,tomatometer_score,audience_score_rt,original_language,MPA_Ratings,release_date_x,budget_x,domestic_gross_x,worldwide_gross_x,release_date,budget,domestic_gross,worldwide_gross,title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id,director
The Brothers Solomon,16.0,31.0,English,R,2007-09-07,10000000,900926,900926,2007-09-07,10000000,900926,900926,The Brothers Solomon,5.2,Will Arnett,Will Forte,Jenna Fischer,https://www.imdb.com/title/tt0784972/,tt0784972,Bob Odenkirk
My Blueberry Nights,45.0,61.0,English,PG-13,2008-04-04,10000000,866778,22198996,2008-04-04,10000000,866778,22198996,My Blueberry Nights,6.6,Norah Jones,Jude Law,Natalie Portman,https://www.imdb.com/title/tt0765120/,tt0765120,Kar-Wai Wong
Coriolanus,92.0,58.0,English,R,2012-01-20,10000000,749641,2536707,2012-01-20,10000000,749641,2536707,Coriolanus,6.1,Ralph Fiennes,Gerard Butler,Brian Cox,https://www.imdb.com/title/tt1372686/,tt1372686,Ralph Fiennes
Parkland,50.0,47.0,English,PG-13,2013-10-04,10000000,641439,1616353,2013-10-04,10000000,641439,1616353,Parkland,6.4,Zac Efron,Tom Welling,Billy Bob Thornton,https://www.imdb.com/title/tt2345112/,tt2345112,Peter Landesman
Swept Away,5.0,28.0,English,R,2002-10-11,10000000,598645,611032,2002-10-11,10000000,598645,611032,Swept Away,3.6,Madonna,Adriano Giannini,Bruce Greenwood,https://www.imdb.com/title/tt0291502/,tt0291502,Guy Ritchie
"War, Inc.",29.0,38.0,English,R,2008-05-23,10000000,580862,1299855,2008-05-23,10000000,580862,1299855,"War, Inc.",5.6,John Cusack,Marisa Tomei,Hilary Duff,https://www.imdb.com/title/tt0884224/,tt0884224,Joshua Seftel
Shaolin Soccer,90.0,84.0,"Stephen Chow, Lee Lik-Chi",,2004-04-02,10000000,488872,42776032,2004-04-02,10000000,488872,42776032,Shaolin Soccer,7.3,Stephen Chow,Wei Zhao,Yat-Fei Wong,https://www.imdb.com/title/tt0286112/,tt0286112,Stephen Chow
The Brown Bunny,47.0,46.0,Vincent Gallo,,2004-08-27,10000000,366301,630427,2004-08-27,10000000,366301,630427,The Brown Bunny,4.9,Vincent Gallo,Chloë Sevigny,Cheryl Tiegs,https://www.imdb.com/title/tt0330099/,tt0330099,Vincent Gallo
King of California,63.0,64.0,English,PG-13,2007-09-14,10000000,268461,1165102,2007-09-14,10000000,268461,1165102,King of California,6.6,Michael Douglas,Evan Rachel Wood,Willis Burks II,https://www.imdb.com/title/tt0388182/,tt0388182,M. Cahill
High Heels and Low Lifes,20.0,49.0,English,R,2001-07-20,10000000,226792,2151098,2001-07-20,10000000,226792,2151098,High Heels and Low Lifes,6.1,Kevin McNally,Minnie Driver,Mary McCormack,https://www.imdb.com/title/tt0253126/,tt0253126,Mel Smith
Free Style,33.0,54.0,English,PG,2009-10-09,10000000,141108,721108,2009-10-09,10000000,141108,721108,Free Style,4.1,Corbin Bleu,Sandra Echeverría,Madison Pettis,https://www.imdb.com/title/tt1128071/,tt1128071,William Dear
Severance,66.0,61.0,English,R,2007-05-18,10000000,137221,5950002,2007-05-18,10000000,137221,5950002,Severance,6.4,Danny Dyer,Laura Harris,Tim McInnerny,https://www.imdb.com/title/tt0464196/,tt0464196,
