title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id,director
Brüno,5.9,Sacha Baron Cohen,Gustaf Hammarsten,Clifford Bañagale,https://www.imdb.com/title/tt0889583/,tt0889583,Larry Charles
Snatched,4.6,Amy Schumer,Goldie Hawn,Kim Caramele,https://www.imdb.com/title/tt2334871/,tt2334871,Jonathan Levine
Here Comes the Boom,6.4,Kevin James,Salma Hayek,Henry Winkler,https://www.imdb.com/title/tt1648179/,tt1648179,Frank Coraci
High Crimes,6.3,Jim Caviezel,Morgan Freeman,Ashley Judd,https://www.imdb.com/title/tt0257756/,tt0257756,Carl Franklin
Red Riding Hood,5.4,Amanda Seyfried,Lukas Haas,Gary Oldman,https://www.imdb.com/title/tt1486185/,tt1486185,Catherine Hardwicke
The Mothman Prophecies,6.4,Richard Gere,Laura Linney,David Eigenberg,https://www.imdb.com/title/tt0265349/,tt0265349,Mark Pellington
Holmes & Watson,3.9,Will Ferrell,John C. Reilly,Ralph Fiennes,https://www.imdb.com/title/tt1255919/,tt1255919,Etan Cohen
One for the Money,5.3,Katherine Heigl,Jason O'Mara,Daniel Sunjata,https://www.imdb.com/title/tt1598828/,tt1598828,Julie Anne Robinson
15 Minutes,6.1,Robert De Niro,Edward Burns,Kelsey Grammer,https://www.imdb.com/title/tt0179626/,tt0179626,John Herzfeld
Lord of War,7.6,Nicolas Cage,Ethan Hawke,Jared Leto,https://www.imdb.com/title/tt0399295/,tt0399295,Andrew Niccol
Man on a Ledge,6.6,Sam Worthington,Elizabeth Banks,Jamie Bell,https://www.imdb.com/title/tt1568338/,tt1568338,Asger Leth
The Warrior's Way,6.3,Jang Dong-Gun,Kate Bosworth,Geoffrey Rush,https://www.imdb.com/title/tt1032751/,tt1032751,Sngmoo Lee
Micmacs,7.1,Dany Boon,André Dussollier,Nicolas Marié,https://www.imdb.com/title/tt1149361/,tt1149361,Jean-Pierre Jeunet
Pourquoi j'ai pas mangé mon père,4.9,Jamel Debbouze,Mélissa Theuriau,Arié Elmaleh,https://www.imdb.com/title/tt1220911/,tt1220911,Jamel Debbouze
8 Mile,7.2,Eminem,Brittany Murphy,Kim Basinger,https://www.imdb.com/title/tt0298203/,tt0298203,Curtis Hanson
Rocketman,7.3,Taron Egerton,Jamie Bell,Richard Madden,https://www.imdb.com/title/tt2066051/,tt2066051,Dexter Fletcher
A Knight’s Tale,6.9,Heath Ledger,Mark Addy,Rufus Sewell,https://www.imdb.com/title/tt0183790/,tt0183790,Brian Helgeland
The Medallion,5.2,Jackie Chan,Lee Evans,Claire Forlani,https://www.imdb.com/title/tt0288045/,tt0288045,Gordon Chan
The Big Year,6.2,Owen Wilson,Jack Black,Steve Martin,https://www.imdb.com/title/tt1053810/,tt1053810,David Frankel
Wedding Crashers,7.0,Owen Wilson,Vince Vaughn,Rachel McAdams,https://www.imdb.com/title/tt0396269/,tt0396269,David Dobkin
The Karate Kid,6.2,Jackie Chan,Jaden Smith,Taraji P. Henson,https://www.imdb.com/title/tt1155076/,tt1155076,John G. Avildsen
John Wick: Chapter 3 — Parabellum,7.4,Keanu Reeves,Halle Berry,Ian McShane,https://www.imdb.com/title/tt6146586/,tt6146586,Chad Stahelski
Fifty Shades of Grey,4.2,Dakota Johnson,Jamie Dornan,Jennifer Ehle,https://www.imdb.com/title/tt2322441/,tt2322441,Sam Taylor-Johnson
Knives Out,7.9,Daniel Craig,Chris Evans,Ana de Armas,https://www.imdb.com/title/tt8946378/,tt8946378,Rian Johnson
The Proposal,6.7,Sandra Bullock,Ryan Reynolds,Mary Steenburgen,https://www.imdb.com/title/tt1041829/,tt1041829,Anne Fletcher
American Hustle,7.3,Christian Bale,Amy Adams,Bradley Cooper,https://www.imdb.com/title/tt1800241/,tt1800241,David O. Russell
Cheaper by the Dozen,5.9,Steve Martin,Bonnie Hunt,Hilary Duff,https://www.imdb.com/title/tt0349205/,tt0349205,Gail Lerner
Lucy,6.4,Scarlett Johansson,Morgan Freeman,Choi Min-sik,https://www.imdb.com/title/tt2872732/,tt2872732,
Lone Survivor,7.5,Mark Wahlberg,Taylor Kitsch,Emile Hirsch,https://www.imdb.com/title/tt1091191/,tt1091191,Peter Berg
Spy Kids 3-D: Game Over,4.3,Daryl Sabara,Alexa PenaVega,Antonio Banderas,https://www.imdb.com/title/tt0338459/,tt0338459,Robert Rodriguez
The Conjuring 2: The Enfield Poltergeist,7.3,Vera Farmiga,Patrick Wilson,Madison Wolfe,https://www.imdb.com/title/tt3065204/,tt3065204,James Wan
The Social Network,7.8,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,https://www.imdb.com/title/tt1285016/,tt1285016,David Fincher
Julie & Julia,7.0,Amy Adams,Meryl Streep,Chris Messina,https://www.imdb.com/title/tt1135503/,tt1135503,Nora Ephron
He's Just Not That Into You,6.4,Ginnifer Goodwin,Jennifer Aniston,Jennifer Connelly,https://www.imdb.com/title/tt1001508/,tt1001508,Ken Kwapis
