rating_check,runtime,genre
6.2,['119'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
6.5,['125'],"['Crime', 'Thriller']"
7.2,['165'],"['Action', 'Drama', 'History', 'War']"
6.2,['102'],"['Action', 'Drama']"
7.5,['170'],"['Biography', 'Drama']"
7.0,['116'],"['Drama', 'Romance', 'Sci-Fi', 'Thriller']"
5.8,['119'],"['Action', 'Comedy', 'Crime']"
6.7,['127'],"['Adventure', 'Drama', 'Family', 'Fantasy', 'Thriller']"
7.1,['127'],"['Action', 'Drama', 'Sci-Fi', 'Sport']"
5.6,['114'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
6.7,['117'],"['Action', 'Adventure', 'Thriller']"
5.3,['105'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
5.7,['120'],"['Action', 'Adventure', 'Mystery', 'Sci-Fi', 'Thriller']"
6.4,['106'],"['Action', 'Crime', 'Thriller']"
6.6,['114'],"['Action', 'Adventure', 'Sci-Fi']"
5.4,['76'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Musical', 'Western']"
7.2,['144'],"['Action', 'Adventure', 'Drama', 'History', 'War']"
6.3,['107'],"['Action', 'Crime', 'Drama', 'Sci-Fi', 'Thriller']"
5.8,['120'],"['Action', 'Adventure', 'Comedy', 'Family', 'Western']"
4.1,['82'],"['Adventure', 'Comedy', 'Family', 'Fantasy']"
6.7,['157'],"['Biography', 'Drama', 'Sport']"
8.0,['144'],"['Adventure', 'Drama', 'Sci-Fi']"
7.1,['124'],"['Action', 'Drama', 'Romance', 'Thriller', 'War']"
7.1,['115'],"['Action', 'Mystery', 'Sci-Fi', 'Thriller']"
7.1,['97'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']"
5.1,['109'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'History']"
5.7,['94'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']"
4.5,['104'],"['Comedy', 'Romance']"
6.7,['141'],"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']"
6.5,['118'],"['Action', 'Crime', 'Thriller']"
8.5,['155'],"['Action', 'Adventure', 'Drama']"
5.8,['100'],"['Comedy', 'Crime']"
4.2,['109'],"['Adventure', 'Family', 'Fantasy', 'Sci-Fi']"
7.0,['140'],"['Action', 'Biography', 'Crime', 'Drama', 'History']"
8.0,['144'],"['Action', 'Adventure', 'Thriller']"
7.7,['145'],"['Action', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']"
6.7,['114'],"['Action', 'Adventure', 'Sci-Fi']"
7.4,['172'],"['Drama', 'Mystery', 'Sci-Fi']"
7.4,['161'],"['Adventure', 'Family', 'Fantasy', 'Mystery']"
5.7,['119'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
6.9,['131'],"['Action', 'Adventure', 'Mystery', 'Thriller']"
8.5,['165'],"['Drama', 'Western']"
8.3,['119'],"['Action', 'Drama', 'War']"
5.5,['98'],"['Comedy', 'Romance']"
7.8,['157'],"['Biography', 'Crime', 'Drama']"
7.0,['90'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
6.6,['107'],"['Action', 'Comedy', 'Crime']"
6.8,['108'],"['Adventure', 'Comedy', 'Family', 'Fantasy']"
8.2,['180'],"['Biography', 'Comedy', 'Crime', 'Drama']"
6.6,['102'],"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']"
7.4,['78'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
6.6,['103'],"['Action', 'Adventure', 'Thriller']"
6.7,['101'],"['Adventure', 'Drama', 'Family', 'Fantasy']"
5.1,['104'],"['Action', 'Adventure', 'Family', 'Fantasy']"
6.0,['98'],"['Action', 'Adventure', 'Fantasy']"
6.0,['103'],"['Action', 'Thriller']"
6.8,['102'],"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi', 'Thriller']"
5.3,['93'],"['Comedy', 'Horror', 'Sci-Fi', 'Thriller']"
6.7,['85'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Sport']"
8.0,['143'],"['Adventure', 'Drama', 'Thriller']"
6.7,['138'],"['Action', 'Drama', 'History', 'War']"
6.9,['97'],"['Animation', 'Action', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Mystery', 'Thriller', 'War']"
5.3,['102'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
