title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id
Le nom des gens,7.2,Sara Forestier,Jacques Gamblin,Zinedine Soualem,https://www.imdb.com/title/tt1646974/,tt1646974
Savage Grace,5.7,Julianne Moore,Eddie Redmayne,Stephen Dillane,https://www.imdb.com/title/tt0379976/,tt0379976
Out of the Blue,7.1,Matthew Sunderland,Stuart Mathieson,Natalie Ellis,https://www.imdb.com/title/tt0839938/,tt0839938
Nannerl la soeur de Mozart,6.4,Marie Féret,Marc Barbé,Delphine Chuillot,https://www.imdb.com/title/tt1653911/,tt1653911
Spun,6.7,Jason Schwartzman,John Leguizamo,Patrick Fugit,https://www.imdb.com/title/tt0283003/,tt0283003
Chinjeolhan geumjassi,7.5,Nam-mi Kang,Jeong-nam Choi,Hye-Sook Go,https://www.imdb.com/title/tt0451094/,tt0451094
Lilja 4-ever,7.8,Oksana Akinshina,Artyom Bogucharskiy,Pavel Ponomaryov,https://www.imdb.com/title/tt0300140/,tt0300140
After.Life,5.9,Christina Ricci,Liam Neeson,Justin Long,https://www.imdb.com/title/tt0838247/,tt0838247
Airlift (2016),8.1,Akshay Kumar,Nimrat Kaur,Kumud Mishra,https://www.imdb.com/title/tt4387040/,tt4387040
Whale Rider,7.5,Keisha Castle-Hughes,Rawiri Paratene,Vicky Haughton,https://www.imdb.com/title/tt0298228/,tt0298228
Sexy Beast,7.3,Ray Winstone,Ben Kingsley,Ian McShane,https://www.imdb.com/title/tt0203119/,tt0203119
Nochnoy dozor,6.4,Konstantin Khabenskiy,Vladimir Menshov,Mariya Poroshina,https://www.imdb.com/title/tt0403358/,tt0403358
Bug,6.1,Ashley Judd,Michael Shannon,Harry Connick Jr.,https://www.imdb.com/title/tt0470705/,tt0470705
The Real Cancun,2.8,Benjamin Fletcher,Nicole Frilot,Roxanne Frilot,https://www.imdb.com/title/tt0360916/,tt0360916
Samsara,8.4,Balinese Tari Legong Dancers,Ni Made Megahadi Pratiwi,Puti Sri Candra Dewi,https://www.imdb.com/title/tt0770802/,tt0770802
Cafarnaúm,8.4,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,https://www.imdb.com/title/tt8267604/,tt8267604
Poolhall Junkies,6.8,Mars Callahan,Chazz Palminteri,Michael Rosenbaum,https://www.imdb.com/title/tt0273982/,tt0273982
"Guten Tag, Ramon",7.6,Kristyan Ferrer,Ingeborg Schöner,Adriana Barraza,https://www.imdb.com/title/tt2876428/,tt2876428
Manglehorn,5.5,Al Pacino,Holly Hunter,Harmony Korine,https://www.imdb.com/title/tt2893490/,tt2893490
Tau ming chong,7.0,Jet Li,Andy Lau,Takeshi Kaneshiro,https://www.imdb.com/title/tt0913968/,tt0913968
Stake Land,6.5,Connor Paolo,Nick Damici,Kelly McGillis,https://www.imdb.com/title/tt1464580/,tt1464580
The Good Heart,6.8,Paul Dano,Brian Cox,Bill Buell,https://www.imdb.com/title/tt0808285/,tt0808285
L’attentat,7.1,Ali Suliman,Reymonde Amsallem,Evgenia Dodina,https://www.imdb.com/title/tt0787442/,tt0787442
Casa de Areia,7.4,Fernanda Montenegro,Fernanda Torres,Ruy Guerra,https://www.imdb.com/title/tt0373747/,tt0373747
El secreto de sus ojos,8.2,Ricardo Darín,Soledad Villamil,Pablo Rago,https://www.imdb.com/title/tt1305806/,tt1305806
First Reformed,7.1,Ethan Hawke,Amanda Seyfried,Cedric the Entertainer,https://www.imdb.com/title/tt6053438/,tt6053438
La otra conquista,6.7,Damián Delgado,José Carlos Rodríguez,Elpidia Carrillo,https://www.imdb.com/title/tt0175996/,tt0175996
